Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Gabon,Africa,25762,1157.46,136,6.11,45,165,7.41,0,0,0
Guyana,Americas,24506,3115.62,831,105.65,134,601,76.41,19,2.42,4
Haiti,Americas,20833,182.71,101,0.89,0,584,5.12,1,0.01,0
Togo,Africa,20244,244.53,1639,19.8,281,175,2.11,3,0.04,0
Seychelles,Africa,19806,20138.9,486,494.17,36,102,103.71,4,4.07,4
Mayotte,Africa,19726,7230.54,78,28.59,9,175,64.15,0,0,0
Papua New Guinea,Western Pacific,17975,200.9,123,1.37,10,192,2.15,0,0,0
Bahamas,Americas,17615,4479.41,767,195.04,0,343,87.22,27,6.87,0
Somalia,Eastern Mediterranean,17016,107.06,617,3.88,124,938,5.9,46,0.29,11
Tajikistan,Europe,17007,178.31,281,2.95,0,125,1.31,0,0,0
Belize,Americas,15683,3944.14,575,144.61,127,355,89.28,8,2.01,2
Timor-Leste,South-East Asia,15296,1160.15,1863,141.3,0,52,3.94,11,0.83,0
Curaçao,Americas,15045,9168.58,359,218.78,46,140,85.32,5,3.05,1
Andorra,Europe,15014,19431.83,38,49.18,11,130,168.25,1,1.29,0
Mali,Africa,14796,73.06,81,0.4,17,537,2.65,2,0.01,1
Lesotho,Africa,14388,671.63,25,1.17,6,403,18.81,3,0.14,3
Aruba,Americas,14153,13256.09,642,601.32,93,128,119.89,7,6.56,0
Lao People's Democratic Republic,Western Pacific,13909,191.17,2880,39.58,952,11,0.15,2,0.03,0
Burkina Faso,Africa,13737,65.72,57,0.27,0,171,0.82,0,0,0
Congo,Africa,13533,245.25,135,2.45,40,183,3.32,4,0.07,4
Benin,Africa,12492,103.04,2309,19.05,0,127,1.05,8,0.07,0
Burundi,Africa,11818,99.39,1463,12.3,219,10,0.08,0,0,0
Djibouti,Eastern Mediterranean,11707,1184.92,18,1.82,6,157,15.89,1,0.1,0
South Sudan,Africa,11347,101.37,120,1.07,10,120,1.07,0,0,0
Central African Republic,Africa,11270,233.34,19,0.39,0,99,2.05,0,0,0
Iceland,Europe,10443,2867.9,631,173.29,189,31,8.51,1,0.27,1
Gambia,Africa,9533,394.47,215,8.9,63,311,12.87,34,1.41,10
Guam,Western Pacific,9253,5482.45,473,280.25,0,145,85.91,1,0.59,0
Equatorial Guinea,Africa,9173,653.82,163,11.62,77,123,8.77,0,0,0
Jersey,Europe,9169,8505.88,220,204.09,22,76,70.5,2,1.86,0
Nicaragua,Americas,8867,133.85,371,5.6,0,199,3,1,0.02,0
Mauritius,Africa,8667,681.49,1909,150.11,0,27,2.12,5,0.39,0
Yemen,Eastern Mediterranean,7625,25.56,253,0.85,45,1438,4.82,27,0.09,14
Saint Lucia,Americas,7421,4041.34,843,459.08,147,99,53.91,4,2.18,2
Eritrea,Africa,6635,187.09,24,0.68,3,37,1.04,0,0,0
Isle of Man,Europe,6418,7547.75,349,410.43,52,29,34.1,0,0,0
Sierra Leone,Africa,6358,79.7,12,0.15,1,121,1.52,0,0,0
Niger,Africa,5807,23.99,66,0.27,37,198,0.82,2,0.01,2
United States Virgin Islands,Americas,5684,5443.14,271,259.52,46,51,48.84,10,9.58,2
Guinea-Bissau,Africa,5634,286.28,329,16.72,44,110,5.59,15,0.76,2
Liberia,Africa,5538,109.5,20,0.4,11,245,4.84,0,0,0
Gibraltar,Europe,5308,15754.95,60,178.09,9,96,284.94,0,0,0
San Marino,Europe,5305,15631.45,55,162.06,13,90,265.19,0,0,0
Chad,Africa,4987,30.36,3,0.02,0,174,1.06,0,0,0
Barbados,Americas,4694,1633.41,113,39.32,26,48,16.7,0,0,0
Comoros,Africa,4055,466.31,16,1.84,1,147,16.9,0,0,0
Sint Maarten,Americas,3520,8208.57,293,683.27,48,46,107.27,5,11.66,3
Liechtenstein,Europe,3359,8669.06,41,105.81,0,58,149.69,0,0,0
Monaco,Europe,3163,8059.83,64,163.08,7,35,89.19,0,0,0
Saint Martin,Americas,3147,8140.41,55,142.27,0,17,43.97,-16,-41.39,0
New Zealand,Western Pacific,2871,59.54,273,5.66,68,26,0.54,0,0,0
Bermuda,Americas,2792,4483.48,94,150.95,2,33,52.99,0,0,0
Turks and Caicos Islands,Americas,2616,6756.55,48,123.97,3,20,51.66,1,2.58,0
Bhutan,South-East Asia,2591,335.79,11,1.43,0,3,0.39,0,0,0
British Virgin Islands,Americas,2568,8492.91,7,23.15,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2555,1165.82,59,26.92,9,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2321,2092.12,1,0.9,1,12,10.82,0,0,0
Brunei Darussalam,Western Pacific,2159,493.51,1213,277.27,176,6,1.37,3,0.69,1
Bonaire,Americas,1745,8343.29,19,90.84,3,17,81.28,0,0,0
Saint Barthélemy,Americas,1553,15710.67,21,212.44,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1540,1572.57,119,121.52,0,43,43.91,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Dominica,Americas,1339,1859.95,386,536.18,0,1,1.39,0,0,0
Guernsey,Europe,1195,1853.63,72,111.68,15,18,27.92,0,0,0
Faroe Islands,Europe,999,2044.41,6,12.28,0,2,4.09,0,0,0
Saint Kitts and Nevis,Americas,929,1746.5,221,415.48,46,3,5.64,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,669,1017.95,13,19.78,1,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,313,551.33,40,70.46,3,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,232,403.08,11,19.11,3,2,3.47,0,0,0
Grenada,Americas,230,204.4,42,37.33,0,1,0.89,0,0,0
Anguilla,Americas,174,1159.85,37,246.63,8,0,0,0,0,0
New Caledonia,Western Pacific,135,47.29,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,25,500.1,2,40.01,0,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,1,51.73,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,2,11.05,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
